matchTimestamp,type.primary,type.secondary,player.name,team.name,pass.recipient.name
00:56:47.018,pass,"['forward_pass', 'head_pass', 'loss', 'short_or_medium_pass']",A. Pilgrim,Zürich,Marta Cazalla
00:56:48.979,pass,"['back_pass', 'recovery', 'short_or_medium_pass']",Marta Cazalla,Grasshopper,J. Egli
00:56:52.478,pass,"['forward_pass', 'progressive_pass', 'short_or_medium_pass', 'under_pressure']",J. Egli,Grasshopper,E. Pápai
00:57:30.570,pass,"['lateral_pass', 'short_or_medium_pass']",N. Mégroz,Zürich,L. Vetterlein
00:57:33.065,pass,"['lateral_pass', 'short_or_medium_pass']",L. Vetterlein,Zürich,S. Friedli
00:57:37.438,pass,"['lateral_pass', 'short_or_medium_pass']",S. Friedli,Zürich,J. Stierli
00:57:39.609,pass,"['lateral_pass', 'short_or_medium_pass']",J. Stierli,Zürich,N. Riesen
00:57:41.960,pass,"['forward_pass', 'short_or_medium_pass']",N. Riesen,Zürich,V. Pinther
00:58:22.118,pass,"['lateral_pass', 'progressive_pass', 'short_or_medium_pass']",S. Piubel,Zürich,M. Rey
00:58:29.546,pass,"['lateral_pass', 'short_or_medium_pass']",Zhang Linyan,Grasshopper,R. Rinast
00:58:31.629,pass,"['forward_pass', 'short_or_medium_pass', 'under_pressure']",R. Rinast,Grasshopper,N. Riesen
00:58:35.712,pass,"['forward_pass', 'short_or_medium_pass']",N. Riesen,Zürich,
00:58:53.864,pass,"['lateral_pass', 'short_or_medium_pass']",Zhang Linyan,Grasshopper,E. Ljustina
00:58:55.813,pass,['short_or_medium_pass'],E. Ljustina,Grasshopper,J. Egli
00:59:11.243,pass,"['lateral_pass', 'long_pass']",N. Mégroz,Zürich,S. Piubel
00:59:18.208,pass,"['deep_completion', 'key_pass', 'short_or_medium_pass', 'shot_assist', 'touch_in_box']",S. Piubel,Zürich,F. Humm
00:59:35.281,pass,"['lateral_pass', 'short_or_medium_pass']",Marta Cazalla,Grasshopper,I. Rutishauser
00:59:38.376,pass,"['lateral_pass', 'short_or_medium_pass']",I. Rutishauser,Grasshopper,V. Laino
00:59:40.707,pass,"['lateral_pass', 'short_or_medium_pass']",V. Laino,Grasshopper,K. Buzás
00:59:44.638,pass,['short_or_medium_pass'],K. Buzás,Grasshopper,
01:00:26.559,pass,"['forward_pass', 'progressive_pass', 'recovery', 'counterpressing_recovery', 'short_or_medium_pass']",M. Höbinger,Zürich,F. Humm
01:00:27.945,pass,"['lateral_pass', 'pass_to_final_third', 'short_or_medium_pass']",F. Humm,Zürich,M. Rey
01:00:30.265,pass,"['lateral_pass', 'long_pass', 'progressive_pass']",M. Rey,Zürich,S. Piubel
01:01:44.533,pass,"['lateral_pass', 'short_or_medium_pass']",N. Ivelj,Grasshopper,E. Pápai
01:01:49.786,pass,"['back_pass', 'short_or_medium_pass']",E. Pápai,Grasshopper,V. Laino
01:01:51.495,pass,"['lateral_pass', 'short_or_medium_pass']",V. Laino,Grasshopper,S. Jackson
01:02:33.990,pass,"['forward_pass', 'short_or_medium_pass', 'under_pressure']",N. Mégroz,Zürich,M. Höbinger
01:02:36.530,pass,['short_or_medium_pass'],M. Höbinger,Zürich,
01:02:39.592,pass,"['lateral_pass', 'short_or_medium_pass']",Zhang Linyan,Grasshopper,
01:02:42.275,pass,"['forward_pass', 'short_or_medium_pass']",Marta Cazalla,Grasshopper,S. Jackson
01:02:44.140,pass,"['back_pass', 'short_or_medium_pass', 'under_pressure']",S. Jackson,Grasshopper,V. Laino
01:02:47.417,pass,"['lateral_pass', 'short_or_medium_pass']",V. Laino,Grasshopper,I. Rutishauser
01:02:50.287,pass,"['forward_pass', 'short_or_medium_pass']",I. Rutishauser,Grasshopper,S. Jackson
01:02:53.196,pass,"['lateral_pass', 'short_or_medium_pass']",S. Jackson,Grasshopper,N. Ivelj
01:02:57.852,pass,"['lateral_pass', 'short_or_medium_pass']",N. Ivelj,Grasshopper,I. Rutishauser
01:03:01.016,pass,"['forward_pass', 'short_or_medium_pass']",I. Rutishauser,Grasshopper,V. Laino
01:03:03.462,pass,"['forward_pass', 'short_or_medium_pass']",V. Laino,Grasshopper,E. Pápai
01:03:05.894,pass,"['lateral_pass', 'short_or_medium_pass']",E. Pápai,Grasshopper,N. Ivelj
01:03:07.958,pass,"['forward_pass', 'progressive_pass', 'short_or_medium_pass']",N. Ivelj,Grasshopper,R. Rinast
01:03:09.484,pass,"['short_or_medium_pass', 'under_pressure']",R. Rinast,Grasshopper,S. Jackson
01:03:12.692,pass,"['forward_pass', 'long_pass', 'pass_to_final_third', 'progressive_pass', 'shot_assist']",J. Stierli,Zürich,F. Humm
01:03:24.880,pass,"['forward_pass', 'short_or_medium_pass']",I. Rutishauser,Grasshopper,V. Laino
01:03:26.841,pass,"['lateral_pass', 'short_or_medium_pass']",V. Laino,Grasshopper,N. Ivelj
01:03:30.526,pass,"['forward_pass', 'short_or_medium_pass']",N. Ivelj,Grasshopper,S. Jackson
01:03:31.216,pass,"['loss', 'short_or_medium_pass', 'under_pressure']",S. Jackson,Grasshopper,N. Riesen
01:03:37.742,pass,"['deep_completion', 'forward_pass', 'pass_to_penalty_area', 'progressive_pass', 'short_or_medium_pass', 'shot_assist']",S. Piubel,Zürich,N. Riesen
01:04:31.661,pass,"['back_pass', 'short_or_medium_pass']",K. Wienerroither,Grasshopper,S. Jackson
01:04:34.759,pass,"['lateral_pass', 'short_or_medium_pass']",S. Jackson,Grasshopper,Zhang Linyan
01:04:38.027,pass,"['pass_to_final_third', 'short_or_medium_pass']",Zhang Linyan,Grasshopper,J. Egli
01:04:39.058,pass,"['back_pass', 'short_or_medium_pass']",J. Egli,Grasshopper,Marta Cazalla
