,id,matchId,matchPeriod,minute,second,matchTimestamp,videoTimestamp,relatedEventId,shot,groundDuel,aerialDuel,infraction,carry,type.primary,type.secondary,location.x,location.y,team.id,team.name,team.formation,opponentTeam.id,opponentTeam.name,opponentTeam.formation,player.id,player.name,player.position,pass.accurate,pass.angle,pass.height,pass.length,pass.recipient.id,pass.recipient.name,pass.recipient.position,pass.endLocation.x,pass.endLocation.y,possession.id,possession.duration,possession.types,possession.eventsNumber,possession.eventIndex,possession.startLocation.x,possession.startLocation.y,possession.endLocation.x,possession.endLocation.y,possession.team.id,possession.team.name,possession.team.formation,possession.attack,pass,groundDuel.opponent.id,groundDuel.opponent.name,groundDuel.opponent.position,groundDuel.duelType,groundDuel.keptPossession,groundDuel.progressedWithBall,groundDuel.stoppedProgress,groundDuel.recoveredPossession,groundDuel.takeOn,groundDuel.side,groundDuel.relatedDuelId,infraction.yellowCard,infraction.redCard,infraction.type,infraction.opponent.id,infraction.opponent.name,infraction.opponent.position,possession.attack.withShot,possession.attack.withShotOnGoal,possession.attack.withGoal,possession.attack.flank,possession.attack.xg,carry.progression,carry.endLocation.x,carry.endLocation.y,shot.bodyPart,shot.isGoal,shot.onTarget,shot.goalZone,shot.xg,shot.postShotXg,shot.goalkeeperActionId,shot.goalkeeper.id,shot.goalkeeper.name,possession,aerialDuel.opponent.id,aerialDuel.opponent.name,aerialDuel.opponent.position,aerialDuel.opponent.height,aerialDuel.firstTouch,aerialDuel.height,aerialDuel.relatedDuelId,shot.goalkeeper,infraction.opponent,location
713,0,0,1H,41,1,0:41:01.460,0,0,,,,,,interception,[],66.3,19.1,0,Servette Chenois,4-2-3-1,0,Zurich,4-4-2 classic,0,Agata Filipa Pinto Pinto Coelho Pimenta,LB,,,,,0,,,,,0,14.0,['attack'],,0,62.7,82.1,17.3,75.1,0,Servette Chenois,4-2-3-1,,,0,,,,,,,,,,0,,,,0,,,False,False,False,left flank,,,,,,,,,,,0,0,,,0,,,,,,0,,,
714,0,0,1H,41,1,0:41:01.460,0,0,,,,,,pass,"['forward_pass', 'pass_to_final_third', 'short_or_medium_pass']",66.3,19.1,0,Servette Chenois,4-2-3-1,0,Zurich,4-4-2 classic,0,Agata Filipa Pinto Pinto Coelho Pimenta,LB,True,-12.8,,17.6,0,Alice Ilaria Berti,,82.7,24.9,0,6.0,['attack'],,0,62.7,82.1,17.3,75.1,0,Servette Chenois,4-2-3-1,,,0,,,,,,,,,,0,,,,0,,,False,False,False,right flank,,,,,,,,,,,0,0,,,0,,,,,,0,,,
715,0,0,1H,41,4,0:41:04.230,0,0,,,,,,duel,"['offensive_duel', 'ground_duel', 'recovery']",17.3,75.1,0,Zurich,4-4-2 classic,0,Servette Chenois,4-2-3-1,0,Alice Ilaria Berti,RWF,,,,,0,,,,,0,6.0,,,0,,,,,0,Servette Chenois,4-2-3-1,,,0,Nadine Andrina Riesen,RB,defensive_duel,False,False,,,,,0,,,,0,,,False,False,False,right flank,,,,,,,,,,,0,0,,,0,,,,,,0,,,
716,0,0,1H,41,4,0:41:04.230,0,0,,,,,,duel,"['offensive_duel', 'ground_duel', 'recovery']",17.3,75.1,0,Zurich,4-4-2 classic,0,Servette Chenois,4-2-3-1,0,Alice Ilaria Berti,RWF,,,,,0,,,,,0,6.0,,,0,,,,,0,Servette Chenois,4-2-3-1,,,0,Nadine Andrina Riesen,RB,defensive_duel,False,False,,,,,0,,,,0,,,False,False,False,right flank,,,,,,,,,,,0,0,,,0,,,,,,0,,,
717,0,0,1H,41,6,0:41:06.110,0,0,,,,,,pass,"['forward_pass', 'short_or_medium_pass']",25.0,72.6,0,Zurich,4-4-2 classic,0,Servette Chenois,4-2-3-1,0,Nadine Andrina Riesen,RB,True,-2.7,,12.6,0,Marion Rey,RDMF,37.0,73.5,0,51.0,"['attack', 'counterattack']",,0,25.0,72.6,48.3,27.4,0,Zurich,4-4-2 classic,,,0,,,,,,,,,,0,,,,0,,,False,False,False,center,,,,,,,,,,,0,0,,,0,,,,,,0,,,
718,0,0,1H,41,10,0:41:10.220,0,0,,,,,,duel,"['offensive_duel', 'ground_duel', 'recovery']",48.3,27.4,0,Servette Chenois,4-2-3-1,0,Zurich,4-4-2 classic,0,Marion Rey,RDMF,,,,,0,,,,,0,51.0,,,0,,,,,0,Zurich,4-4-2 classic,,,0,Agata Filipa Pinto Pinto Coelho Pimenta,LB,defensive_duel,False,False,,,,,0,,,,0,,,False,False,False,center,,,,,,,,,,,0,0,,,0,,,,,,0,,,
719,0,0,1H,41,10,0:41:10.220,0,0,,,,,,duel,"['offensive_duel', 'ground_duel', 'recovery']",48.3,27.4,0,Servette Chenois,4-2-3-1,0,Zurich,4-4-2 classic,0,Marion Rey,RDMF,,,,,0,,,,,0,51.0,,,0,,,,,0,Zurich,4-4-2 classic,,,0,Agata Filipa Pinto Pinto Coelho Pimenta,LB,defensive_duel,False,False,,,,,0,,,,0,,,False,False,False,center,,,,,,,,,,,0,0,,,0,,,,,,0,,,
720,0,0,1H,41,11,0:41:11.390,0,0,,,,,,pass,"['back_pass', 'short_or_medium_pass']",41.5,30.6,0,Servette Chenois,4-2-3-1,0,Zurich,4-4-2 classic,0,Agata Filipa Pinto Pinto Coelho Pimenta,LB,True,-164.5,,38.6,0,,,6.1,45.7,0,51.0,['attack'],,0,41.5,30.6,23.4,31.0,0,Servette Chenois,4-2-3-1,,,0,,,,,,,,,,0,,,,0,,,False,False,False,center,,,,,,,,,,,0,0,,,0,,,,,,0,,,
721,0,0,1H,41,15,0:41:15.340,0,0,,,,,,pass,"['lateral_pass', 'short_or_medium_pass']",9.2,39.9,0,Servette Chenois,4-2-3-1,0,Zurich,4-4-2 classic,0,Ines Teixeira Pereira,GK,True,56.0,,28.8,0,Agata Filipa Pinto Pinto Coelho Pimenta,LB,24.6,4.7,0,51.0,['attack'],,0,41.5,30.6,23.4,31.0,0,Servette Chenois,4-2-3-1,,,0,,,,,,,,,,0,,,,0,,,False,False,False,center,,,,,,,,,,,0,0,,,0,,,,,,0,,,
722,0,0,1H,41,22,0:41:22.130,0,0,,,,,,pass,"['lateral_pass', 'short_or_medium_pass']",31.3,10.3,0,Servette Chenois,4-2-3-1,0,Zurich,4-4-2 classic,0,Agata Filipa Pinto Pinto Coelho Pimenta,LB,True,-134.8,,17.9,0,Nathalia Spalti,LCB3,19.3,29.0,0,51.0,['attack'],,0,41.5,30.6,23.4,31.0,0,Servette Chenois,4-2-3-1,,,0,,,,,,,,,,0,,,,0,,,False,False,False,center,,,,,,,,,,,0,0,,,0,,,,,,0,,,
723,0,0,1H,41,35,0:41:35.630,0,0,,,,,,pass,"['back_pass', 'short_or_medium_pass']",26.7,40.9,0,Servette Chenois,4-2-3-1,0,Zurich,4-4-2 classic,0,Nathalia Spalti,LCB3,True,-159.2,,11.6,0,Ines Teixeira Pereira,GK,16.4,46.9,0,51.0,['attack'],,0,41.5,30.6,23.4,31.0,0,Servette Chenois,4-2-3-1,,,0,,,,,,,,,,0,,,,0,,,False,False,False,center,,,,,,,,,,,0,0,,,0,,,,,,0,,,
724,0,0,1H,41,42,0:41:42.490,0,0,,,,,,pass,"['forward_pass', 'lateral_pass', 'short_or_medium_pass']",22.7,44.9,0,Servette Chenois,4-2-3-1,0,Zurich,4-4-2 classic,0,Ines Teixeira Pereira,GK,True,-72.2,,36.3,0,Monica Soraia Amaral Mendes,RB,33.2,95.7,0,51.0,['attack'],,0,41.5,30.6,23.4,31.0,0,Servette Chenois,4-2-3-1,,,0,,,,,,,,,,0,,,,0,,,False,False,False,center,,,,,,,,,,,0,0,,,0,,,,,,0,,,
725,0,0,1H,41,48,0:41:48.670,0,0,,,,,,pass,"['lateral_pass', 'short_or_medium_pass']",45.2,88.5,0,Servette Chenois,4-2-3-1,0,Zurich,4-4-2 classic,0,Monica Soraia Amaral Mendes,RB,True,63.0,,16.1,0,,,52.2,67.5,0,51.0,['attack'],,0,41.5,30.6,23.4,31.0,0,Servette Chenois,4-2-3-1,,,0,,,,,,,,,,0,,,,0,,,False,False,False,center,,,,,,,,,,,0,0,,,0,,,,,,0,,,
726,0,0,1H,41,50,0:41:50.980,0,0,,,,,,pass,"['forward_pass', 'short_or_medium_pass']",52.0,60.6,0,Servette Chenois,4-2-3-1,0,Zurich,4-4-2 classic,0,Maeva Jocelyne Clemaron,LDMF,True,25.3,,14.3,0,Sandrine Mauron,CF,64.3,51.6,0,51.0,['attack'],,0,41.5,30.6,23.4,31.0,0,Servette Chenois,4-2-3-1,,,0,,,,,,,,,,0,,,,0,,,False,False,False,center,,,,,,,,,,,0,0,,,0,,,,,,0,,,
727,0,0,1H,41,52,0:41:52.890,0,0,,,,,,duel,"['defensive_duel', 'ground_duel']",60.0,54.0,0,Servette Chenois,4-2-3-1,0,Zurich,4-4-2 classic,0,Marie-Therese Hobinger,LDMF,,,,,0,,,,,0,51.0,['attack'],,0,41.5,30.6,23.4,31.0,0,Servette Chenois,4-2-3-1,,,0,Sandrine Mauron,CF,defensive_duel,,,False,False,,,0,,,,0,,,False,False,False,center,,,,,,,,,,,0,0,,,0,,,,,,0,,,
